Group,Date,Time,Experiment,SP,SP_sd,d18O,d18O_sd,d15N,d15N_sd,N2OFlux_gN_ha_day,r_N2O_SP-O-map-RM,f_bD_SP-O-map-RM,r_N2O_SP-O-map-MR,f_bD_SP-O-map-MR,WFPS,NO3_mgN_kg-1_drysoil,NH4_mgN_kg-1_drysoil,group,FRAME_r_N2O_mean,FRAME_r_N2O_sd,FRAME_bD_N2O_mean,FRAME_bD_N2O_sd,FRAME_nD_N2O_mean,FRAME_nD_N2O_sd,FRAME_fD_N2O_mean,FRAME_fD_N2O_sd,FRAME_Ni_N2O_mean,FRAME_Ni_N2O_sd,r_N2O_SP-O-map-RM_mean,f_bD_SP-O-map-RM_mean,r_N2O_SP-O-map-MR_mean,f_bD_SP-O-map-MR_mean,r_N2O_SP-O-map-RM_sd,f_bD_SP-O-map-RM_sd,r_N2O_SP-O-map-MR_sd,f_bD_SP-O-map-MR_sd,r_N2O_15Ngasflux_mean,r_N2O_15Ngasflux_sd,f_N2O-NO3_15Ngasflux_mean,f_N2O-NO3_15Ngasflux_sd
L2-N5/1,22.02.18,12:00,L2_wetter,7.4,1,35.8,0.5,-15.3,0.5,6.5454699,0.238236494,0.994911225,0.241716906,0.978639818,71.5,19.91,0.31,1,0.257856546,0.025044629,0.693434627,0.040324813,0.230601939,0.027199582,0.045072988,0.033624274,0.030890446,0.023374485,0.244275515,0.992987593,0.244215995,0.984872521,0.031985944,0.011663498,0.025475694,0.072616354,0.72,0.15,0.99,0.03
L2-N6/1,22.02.18,12:00,L2_wetter,6.1,1,33.2,0.5,-19.0,0.5,9.7356989,0.277034126,0.997619467,0.278377385,0.991407076,71.5,19.91,0.31,1,0.257856546,0.025044629,0.693434627,0.040324813,0.230601939,0.027199582,0.045072988,0.033624274,0.030890446,0.023374485,0.244275515,0.992987593,0.244215995,0.984872521,0.031985944,0.011663498,0.025475694,0.072616354,0.72,0.15,0.99,0.03
L2-N7/1,22.02.18,12:00,L2_wetter,7.4,1,38.1,0.5,-10.9,0.5,7.0955093,0.200794434,1,0.196656866,1.012968919,71.5,19.91,0.31,1,0.257856546,0.025044629,0.693434627,0.040324813,0.230601939,0.027199582,0.045072988,0.033624274,0.030890446,0.023374485,0.244275515,0.992987593,0.244215995,0.984872521,0.031985944,0.011663498,0.025475694,0.072616354,0.72,0.15,0.99,0.03
L2-N8/1,22.02.18,12:00,L2_wetter,4.4,1,33.2,0.5,-13.8,0.5,4.5103238,0.267302543,1,0.246986974,1.059911389,71.5,19.91,0.31,1,0.257856546,0.025044629,0.693434627,0.040324813,0.230601939,0.027199582,0.045072988,0.033624274,0.030890446,0.023374485,0.244275515,0.992987593,0.244215995,0.984872521,0.031985944,0.011663498,0.025475694,0.072616354,0.72,0.15,0.99,0.03
L2-Ne5/1,22.02.18,12:00,L2_wetter,12.5,1,40.2,0.5,-9.7,0.5,4.5744950,0.202946094,0.967726769,0.232407472,0.840976339,71.5,19.91,0.31,1,0.257856546,0.025044629,0.693434627,0.040324813,0.230601939,0.027199582,0.045072988,0.033624274,0.030890446,0.023374485,0.244275515,0.992987593,0.244215995,0.984872521,0.031985944,0.011663498,0.025475694,0.072616354,0.72,0.15,0.99,0.03
L2-Ne6/1,22.02.18,12:00,L2_wetter,4.6,1,32.9,0.5,-16.8,0.5,9.5615197,0.273751071,1,0.257378931,1.047601724,71.5,19.91,0.31,1,0.257856546,0.025044629,0.693434627,0.040324813,0.230601939,0.027199582,0.045072988,0.033624274,0.030890446,0.023374485,0.244275515,0.992987593,0.244215995,0.984872521,0.031985944,0.011663498,0.025475694,0.072616354,0.72,0.15,0.99,0.03
L2-Ne7/1,22.02.18,12:00,L2_wetter,7.6,1,35.3,0.5,-18.0,0.5,13.8151584,0.249863845,0.990655688,0.255987427,0.962602385,71.5,19.91,0.31,1,0.257856546,0.025044629,0.693434627,0.040324813,0.230601939,0.027199582,0.045072988,0.033624274,0.030890446,0.023374485,0.244275515,0.992987593,0.244215995,0.984872521,0.031985944,0.011663498,0.025475694,0.072616354,0.72,0.15,0.99,0.03
L2-N5/2,23.02.18,15:00,L2_wetter,7.4,1,39.0,0.5,-5.9,0.5,16.4828499,0.18988979,1,0.18141353,1.027487157,-999999.0,-999999.0,-999999.0,2,0.198408854,0.01966272,0.635776139,0.035308682,0.308766549,0.024460955,0.032726044,0.026825443,0.022731268,0.018628499,0.187467892,0.999464584,0.173921748,1.028747323,0.030802884,0.001311497,0.037091901,0.038885411,0.33,0.17,0.98,0.03
L2-N6/2,23.02.18,15:00,L2_wetter,6.1,1,39.4,0.5,-9.8,0.5,12.5867368,0.184233146,1,0.159222172,1.086252986,-999999.0,-999999.0,-999999.0,2,0.198408854,0.01966272,0.635776139,0.035308682,0.308766549,0.024460955,0.032726044,0.026825443,0.022731268,0.018628499,0.187467892,0.999464584,0.173921748,1.028747323,0.030802884,0.001311497,0.037091901,0.038885411,0.33,0.17,0.98,0.03
L2-N7/2,23.02.18,15:00,L2_wetter,6.4,1,41.6,0.5,-7.8,0.5,6.4262946,0.162833828,1,0.134911174,1,-999999.0,-999999.0,-999999.0,2,0.198408854,0.01966272,0.635776139,0.035308682,0.308766549,0.024460955,0.032726044,0.026825443,0.022731268,0.018628499,0.187467892,0.999464584,0.173921748,1.028747323,0.030802884,0.001311497,0.037091901,0.038885411,0.33,0.17,0.98,0.03
L2-N8/2,23.02.18,15:00,L2_wetter,6.0,1,34.7,0.5,-8.0,0.5,2.6218549,0.246888638,1,0.24128937,1.01639989,-999999.0,-999999.0,-999999.0,2,0.198408854,0.01966272,0.635776139,0.035308682,0.308766549,0.024460955,0.032726044,0.026825443,0.022731268,0.018628499,0.187467892,0.999464584,0.173921748,1.028747323,0.030802884,0.001311497,0.037091901,0.038885411,0.33,0.17,0.98,0.03
L2-Ne6/2,23.02.18,15:00,L2_wetter,7.3,1,41.0,0.5,-8.3,0.5,7.3613618,0.16793281,1,0.150639358,1.060910136,-999999.0,-999999.0,-999999.0,2,0.198408854,0.01966272,0.635776139,0.035308682,0.308766549,0.024460955,0.032726044,0.026825443,0.022731268,0.018628499,0.187467892,0.999464584,0.173921748,1.028747323,0.030802884,0.001311497,0.037091901,0.038885411,0.33,0.17,0.98,0.03
L2-Ne7/2,23.02.18,15:00,L2_wetter,9.2,1,40.7,0.5,-12.1,0.5,7.4897043,0.173029138,0.996787501,0.176054884,0.98143377,-999999.0,-999999.0,-999999.0,2,0.198408854,0.01966272,0.635776139,0.035308682,0.308766549,0.024460955,0.032726044,0.026825443,0.022731268,0.018628499,0.187467892,0.999464584,0.173921748,1.028747323,0.030802884,0.001311497,0.037091901,0.038885411,0.33,0.17,0.98,0.03
L2-N5/3,24.02.18,16:00,L2_wetter,6.4,1,40.6,0.5,-7.5,0.5,6.3346214,0.171539252,1,0.146385446,1.08994557,-999999.0,-999999.0,-999999.0,3,0.17459908,0.016611215,0.618792828,0.033230649,0.332477408,0.024653393,0.028168745,0.023126933,0.020561019,0.016723926,0.168182844,0.999477183,0.149161852,1.024920987,0.027727392,0.001280635,0.037680049,0.040206033,0.30,0.10,0.94,0.07
L2-N6/3,24.02.18,16:00,L2_wetter,5.7,1,41.7,0.5,-4.1,0.5,11.4316539,0.161535559,1,0.126376083,1,-999999.0,-999999.0,-999999.0,3,0.17459908,0.016611215,0.618792828,0.033230649,0.332477408,0.024653393,0.028168745,0.023126933,0.020561019,0.016723926,0.168182844,0.999477183,0.149161852,1.024920987,0.027727392,0.001280635,0.037680049,0.040206033,0.30,0.10,0.94,0.07
L2-N7/3,24.02.18,16:00,L2_wetter,6.3,1,43.9,0.5,-4.9,0.5,5.0695306,0.143195698,1,0.108311901,1,-999999.0,-999999.0,-999999.0,3,0.17459908,0.016611215,0.618792828,0.033230649,0.332477408,0.024653393,0.028168745,0.023126933,0.020561019,0.016723926,0.168182844,0.999477183,0.149161852,1.024920987,0.027727392,0.001280635,0.037680049,0.040206033,0.30,0.10,0.94,0.07
L2-N8/3,24.02.18,16:00,L2_wetter,6.6,1,36.8,0.5,-4.1,0.5,1.7142897,0.216635041,1,0.208646646,1.024564207,-999999.0,-999999.0,-999999.0,3,0.17459908,0.016611215,0.618792828,0.033230649,0.332477408,0.024653393,0.028168745,0.023126933,0.020561019,0.016723926,0.168182844,0.999477183,0.149161852,1.024920987,0.027727392,0.001280635,0.037680049,0.040206033,0.30,0.10,0.94,0.07
L2-Ne6/3,24.02.18,16:00,L2_wetter,8.6,1,44.0,0.5,-6.0,0.5,4.3728139,0.14058693,1,0.126732683,1.052879586,-999999.0,-999999.0,-999999.0,3,0.17459908,0.016611215,0.618792828,0.033230649,0.332477408,0.024653393,0.028168745,0.023126933,0.020561019,0.016723926,0.168182844,0.999477183,0.149161852,1.024920987,0.027727392,0.001280635,0.037680049,0.040206033,0.30,0.10,0.94,0.07
L2-Ne7/3,24.02.18,16:00,L2_wetter,9.1,1,40.5,0.5,-11.1,0.5,5.4637255,0.175604586,0.996863098,0.17851835,0.98213656,-999999.0,-999999.0,-999999.0,3,0.17459908,0.016611215,0.618792828,0.033230649,0.332477408,0.024653393,0.028168745,0.023126933,0.020561019,0.016723926,0.168182844,0.999477183,0.149161852,1.024920987,0.027727392,0.001280635,0.037680049,0.040206033,0.30,0.10,0.94,0.07
L2-N5/4,26.02.18,10:30,L2_wetter,11.3,1,44.0,0.5,-4.9,0.5,2.9335439,0.143551984,0.992172119,0.15246846,0.945470059,69.1,21.22,0.50,4,0.182995684,0.022432616,0.619211685,0.046624589,0.301436908,0.034603654,0.0446087,0.034669737,0.034742707,0.026965626,0.169767735,0.997806436,0.164333845,0.985385736,0.032129326,0.003782612,0.03399216,0.026857172,0.16,0.07,0.86,0.09
L2-N6/4,26.02.18,10:30,L2_wetter,7.3,1,37.0,0.5,-8.3,0.5,1.8059630,0.215147981,1,0.214376566,1.002337856,69.1,-999999.0,-999999.0,4,0.182995684,0.022432616,0.619211685,0.046624589,0.301436908,0.034603654,0.0446087,0.034669737,0.034742707,0.026965626,0.169767735,0.997806436,0.164333845,0.985385736,0.032129326,0.003782612,0.03399216,0.026857172,0.16,0.07,0.86,0.09
L2-Ne6/4,26.02.18,10:30,L2_wetter,9.6,1,42.7,0.5,-7.9,0.5,2.4568430,0.151058343,0.999053624,0.152049037,0.993735029,69.1,-999999.0,-999999.0,4,0.182995684,0.022432616,0.619211685,0.046624589,0.301436908,0.034603654,0.0446087,0.034669737,0.034742707,0.026965626,0.169767735,0.997806436,0.164333845,0.985385736,0.032129326,0.003782612,0.03399216,0.026857172,0.16,0.07,0.86,0.09
L2-Ne7/4,26.02.18,10:30,L2_wetter,5.9,1,40.9,0.5,-9.7,0.5,2.3926718,0.169312631,1,0.138441318,1,69.1,-999999.0,-999999.0,4,0.182995684,0.022432616,0.619211685,0.046624589,0.301436908,0.034603654,0.0446087,0.034669737,0.034742707,0.026965626,0.169767735,0.997806436,0.164333845,0.985385736,0.032129326,0.003782612,0.03399216,0.026857172,0.16,0.07,0.86,0.09
L2-N5/5,27.02.18,10:30,L2_wetter,11.3,1,47.7,0.5,-3.7,0.5,2.2459946,0.110171392,1,0.109423545,1.003087966,-999999.0,-999999.0,-999999.0,5,0.173935896,0.025149764,0.606372434,0.057530354,0.298816745,0.039069683,0.057161433,0.044515677,0.037649389,0.029434589,0.158681146,0.997345992,0.154703377,1.008737352,0.044777177,0.004596877,0.048067114,0.051917959,0.12,0.05,0.81,0.09
L2-N7/5,27.02.18,10:30,L2_wetter,9.0,1,38.9,0.5,-8.6,0.5,2.4843450,0.198431132,0.992037976,0.205141676,0.959875125,-999999.0,-999999.0,-999999.0,5,0.173935896,0.025149764,0.606372434,0.057530354,0.298816745,0.039069683,0.057161433,0.044515677,0.037649389,0.029434589,0.158681146,0.997345992,0.154703377,1.008737352,0.044777177,0.004596877,0.048067114,0.051917959,0.12,0.05,0.81,0.09
L2-Ne7/5,27.02.18,10:30,L2_wetter,7.3,1,41.0,0.5,-9.0,0.5,1.8334649,0.167440915,1,0.14954491,1.063248966,-999999.0,-999999.0,-999999.0,5,0.173935896,0.025149764,0.606372434,0.057530354,0.298816745,0.039069683,0.057161433,0.044515677,0.037649389,0.029434589,0.158681146,0.997345992,0.154703377,1.008737352,0.044777177,0.004596877,0.048067114,0.051917959,0.12,0.05,0.81,0.09
L2-N5/6,28.02.18,13:30,L2_wetter,5.8,1,30.3,0.5,-26.9,0.5,7.2513539,0.34830996,0.985033509,0.354536003,0.957031113,-999999.0,-999999.0,-999999.0,6,0.441856838,0.052725639,0.826033902,0.050132401,0.068564984,0.031808119,0.063735522,0.041878813,0.041665591,0.028212777,0.43689926,0.964391541,0.444616279,0.92702506,0.126004299,0.027144915,0.128204361,0.040588686,0.918327439,0.028775762,1,0.004165383
L2-N6/6,28.02.18,13:30,L2_wetter,5.8,1,25.0,0.5,-38.3,0.5,8.3147635,0.555578553,0.93261448,0.566219758,0.878711085,-999999.0,-999999.0,-999999.0,6,0.441856838,0.052725639,0.826033902,0.050132401,0.068564984,0.031808119,0.063735522,0.041878813,0.041665591,0.028212777,0.43689926,0.964391541,0.444616279,0.92702506,0.126004299,0.027144915,0.128204361,0.040588686,0.918327439,0.028775762,1,0.004165383
L2-N7/6,28.02.18,13:30,L2_wetter,6.3,1,32.0,0.5,-20.0,0.5,2.2184926,0.30950279,0.988835948,0.315033863,0.963929074,-999999.0,-999999.0,-999999.0,6,0.441856838,0.052725639,0.826033902,0.050132401,0.068564984,0.031808119,0.063735522,0.041878813,0.041665591,0.028212777,0.43689926,0.964391541,0.444616279,0.92702506,0.126004299,0.027144915,0.128204361,0.040588686,0.918327439,0.028775762,1,0.004165383
L2-N8/6,28.02.18,13:30,L2_wetter,5.0,1,24.9,0.5,-27.3,0.5,5.1428692,0.534205738,0.951082229,0.542675494,0.908428968,-999999.0,-999999.0,-999999.0,6,0.441856838,0.052725639,0.826033902,0.050132401,0.068564984,0.031808119,0.063735522,0.041878813,0.041665591,0.028212777,0.43689926,0.964391541,0.444616279,0.92702506,0.126004299,0.027144915,0.128204361,0.040588686,0.918327439,0.028775762,1,0.004165383
L2-N5/7,01.03.18,10:30,L2_wetter,6.2,1,26.0,0.5,-38.1,0.5,17.9037852,0.518821642,0.937855401,0.530771788,0.880219725,81.8,19.72,0.78,7,0.677657723,0.137242383,0.775596959,0.089091566,0.027693677,0.022158081,0.172291502,0.087675237,0.024417862,0.021496938,0.518821642,0.937855401,0.530771788,0.880219725,-999999.0,-999999.0,-999999.0,-999999.0,0.934866208,0.061957339,1,0.00202139
